year,china_keyword_share,us_keyword_share,eu_keyword_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,china_subject_share,us_subject_share,eu_subject_share,china_scibert_share,us_scibert_share,eu_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,china_scibert_not_cv_share,us_scibert_not_cv_share,eu_scibert_not_cv_share,china_arxiv_scibert_share,us_arxiv_scibert_share,eu_arxiv_scibert_share,china_arxiv_scibert_cl_share,us_arxiv_scibert_cl_share,eu_arxiv_scibert_cl_share,china_arxiv_scibert_cv_share,us_arxiv_scibert_cv_share,eu_arxiv_scibert_cv_share,china_arxiv_scibert_ro_share,us_arxiv_scibert_ro_share,eu_arxiv_scibert_ro_share,china_arxiv_scibert_not_cv_share,us_arxiv_scibert_not_cv_share,eu_arxiv_scibert_not_cv_share,china_keyword_count,us_keyword_count,eu_keyword_count,china_elsevier_count,us_elsevier_count,eu_elsevier_count,china_subject_count,us_subject_count,eu_subject_count,china_scibert_count,us_scibert_count,eu_scibert_count,china_scibert_cl_count,us_scibert_cl_count,eu_scibert_cl_count,china_scibert_cv_count,us_scibert_cv_count,eu_scibert_cv_count,china_scibert_ro_count,us_scibert_ro_count,eu_scibert_ro_count,china_scibert_not_cv_count,us_scibert_not_cv_count,eu_scibert_not_cv_count,china_arxiv_scibert_count,us_arxiv_scibert_count,eu_arxiv_scibert_count,china_arxiv_scibert_cl_count,us_arxiv_scibert_cl_count,eu_arxiv_scibert_cl_count,china_arxiv_scibert_cv_count,us_arxiv_scibert_cv_count,eu_arxiv_scibert_cv_count,china_arxiv_scibert_ro_count,us_arxiv_scibert_ro_count,eu_arxiv_scibert_ro_count,china_arxiv_scibert_not_cv_count,us_arxiv_scibert_not_cv_count,eu_arxiv_scibert_not_cv_count
2010,0.23322096230462763,0.12345489835529676,0.156182960465829,0.2216950082281953,0.12020479063814225,0.15947156701407936,0.23840035902166595,0.1306439951133162,0.2196098963657367,0.2570543603534383,0.0956732616212063,0.11973684210526316,0.24321544314499083,0.08261237142454558,0.08247146681696492,0.2606918857492515,0.10856880613649773,0.1474682576105247,0.33990195290524794,0.05876396367435506,0.06368239170618017,0.25120698904130584,0.09446052453179436,0.11381950871566934,0.27434659036960607,0.09881060140904804,0.1413225808493534,0.25383616619452315,0.09135977337110482,0.12181303116147309,0.2823485967503693,0.10226489414081733,0.15256031511570656,0.3321485447873151,0.06850231956978328,0.08613566598195121,0.26847688086169474,0.0987344882663718,0.1386001556292747,18264,9668,12231,24249,13148,17443,28686,15720,26425,53529,19923,24934,17261,5863,5853,11929,4968,6748,21147,3656,3962,42614,16024,19308,43341,15610,22326,8602,3096,4128,11469,4154,6197,14391,2968,3732,32777,12054,16921
2011,0.210997208644669,0.1253550140786699,0.14891697851022076,0.20333536532265087,0.11937646956370286,0.15458503875293914,0.2323003048280835,0.13305909731554624,0.21237995345635713,0.2492234524114556,0.09443088389321179,0.11494252873563218,0.25171338777467844,0.0741521412614068,0.07623471203725908,0.2404857466296182,0.10785221776268396,0.14428321498404859,0.35361951081976456,0.057531542961866494,0.05375343624444914,0.24656680871708078,0.09269478640064832,0.10859414193647976,0.26367855914147237,0.0990771310787728,0.1362393544142589,0.2675709001233046,0.08406154505977591,0.10874926285316035,0.25887181892811073,0.10444470505453265,0.15013486572065204,0.34981302811809184,0.06518191021217692,0.07257814598268703,0.2618260019550342,0.09807233626588466,0.13260606060606062,17310,10284,12217,23349,13708,17751,28349,16238,25918,55442,21007,25570,19943,5875,6040,11684,5240,7010,25084,4081,3813,44725,16814,19698,43686,16415,22572,9982,3136,4057,11037,4453,6401,16932,3155,3513,33481,12541,16957
2012,0.18818823368978488,0.12074275259383843,0.1451526756593975,0.1837216767216191,0.1166511658532169,0.15242923810072512,0.2294715032175616,0.12808239377509584,0.2045325650507021,0.23011908488490518,0.09609237565747995,0.1189570262727445,0.22929148713764883,0.07746730234811208,0.08430002804476965,0.21946750644145432,0.10359767153354328,0.140509590609791,0.34690991765325646,0.06148279590761638,0.06126098649735215,0.22754455012572428,0.09626106920301739,0.11433803432819503,0.24162986097353487,0.09791868175408747,0.13764552330120847,0.2488567172759819,0.08414560848773095,0.11709828311600073,0.23870911545664386,0.09799224772440225,0.14498497452201559,0.33707347372217433,0.06850467851489711,0.08200925684746238,0.2389010536274233,0.09874800680547184,0.13614758413379008,16560,10625,12773,22322,14173,18520,30346,16938,27048,52194,21795,26981,17987,6077,6613,11499,5428,7362,25024,4435,4419,41627,17610,20917,41469,16805,23623,9523,3220,4481,10962,4500,6658,16823,3419,4093,31313,12943,17845
2013,0.1822818675163946,0.11450663940577047,0.1498950527998608,0.1754990165799098,0.1134606118531742,0.15744200191154747,0.19754012640385576,0.12400157625911275,0.2210551842252838,0.21587716260700712,0.09746251188968129,0.12711548661123262,0.2111867678902194,0.08236153504995956,0.09364483055490334,0.21608213076463453,0.09619946042839812,0.14025240362852848,0.34422358088725336,0.06522558024977543,0.06915186462287387,0.21095095789236162,0.09977380421681774,0.12406095728697146,0.2261433014629651,0.09691855776984218,0.14517912682870637,0.23998281233215168,0.08647545386185412,0.12313352669459662,0.23624548436656562,0.0898351534277291,0.14549682348544615,0.33071809059751417,0.0710864268902011,0.09026716769211711,0.21981265532402983,0.10001147008220225,0.14577709806920283,16761,10529,13783,22218,14364,19932,26067,16363,29170,49250,22235,29000,16190,6314,7179,11934,5313,7746,23759,4502,4773,38330,18129,22542,39263,16827,25206,8936,3220,4585,11379,4327,7008,16018,3443,4372,28746,13079,19064
2014,0.17898306495235716,0.11562226937960304,0.14766154870386553,0.17478006764789347,0.1146409369463342,0.15626509997622354,0.19634154150450725,0.12459534261584763,0.2199699753114528,0.20744659206510682,0.10410308579179382,0.13720809313891716,0.192406489100125,0.0883391255374387,0.11122405527548455,0.21745198848076888,0.09430928782176994,0.1407925655023763,0.34488047211015904,0.07825159203814223,0.08475310905878038,0.1995085966743761,0.10904309007330676,0.13737952832201913,0.22036852444491078,0.09976741339209205,0.1524987029944797,0.22075508882569891,0.08975477913229539,0.14656944170725528,0.23757729570769634,0.08719560094265515,0.1446613088404133,0.3240689655172414,0.0814022988505747,0.10832183908045977,0.21120388334262802,0.10500106037875158,0.1567082701687966,17206,11115,14195,22788,14947,20374,27596,17512,30917,45882,23025,30347,14007,6431,8097,12308,5338,7969,20688,4694,5084,34591,18906,23819,37804,17115,26161,7841,3188,5206,11795,4329,7182,14097,3541,4712,26889,13368,19951
2015,0.16425692073546955,0.124326436592489,0.15593764139689853,0.15791861466535434,0.1228392593503937,0.16673074557086615,0.19158012239121336,0.12497591378130378,0.21934073527750647,0.17505064064627568,0.11664910482734066,0.15176316055370315,0.1589549232307256,0.10165773885017682,0.1380802459004163,0.2049067644259579,0.0986816595579682,0.14762592971200958,0.28540399652476106,0.0966333622936577,0.11214161598609905,0.1603035303530353,0.12466246624662466,0.15412166216621662,0.18992381209436995,0.11050926891508914,0.16579764197818644,0.18336289795537297,0.10593470886627454,0.16826938038776335,0.22464277819088005,0.08945115456500331,0.15211318555437206,0.2685116570711965,0.09653423017727869,0.1347546029755458,0.1730890873668497,0.11933979370661808,0.17249027992139598,15973,12090,15164,20537,15975,21683,28833,18809,33011,36382,24244,31542,10653,6813,9254,11626,5599,8376,13140,4449,5163,25646,19944,24657,30961,18015,27028,5892,3404,5407,11178,4451,7569,9421,3387,4728,20523,14150,20452
2016,0.16493760029436716,0.1333237936567965,0.15643366006725473,0.1591916326892395,0.1311824144655203,0.1653653761667296,0.20044678862673307,0.12191952683932251,0.2056443869778398,0.15201958646053843,0.1278037932730344,0.16361964633181517,0.09435119057482311,0.10750799516147741,0.14782349334703143,0.20892820096939063,0.10491673424740207,0.15167002998698678,0.21278749723180107,0.1368281185738239,0.16754721756461768,0.1281198003327787,0.13753448893194886,0.16831300855816958,0.1733488113051822,0.1209227734199384,0.17484516436398284,0.12912657290895632,0.10932642487046632,0.1886380458919319,0.22988114003322968,0.09670685468410514,0.15419844076172623,0.1990706679574056,0.13188770571151984,0.18714424007744435,0.14762487276937875,0.1314327335207164,0.18441670012793096,16137,13044,15305,20654,17020,21455,31315,19047,32127,28438,23908,30608,5694,6488,8921,11078,5563,8042,6726,4325,5296,18249,19590,23974,25834,18021,26057,3489,2954,5097,10792,4540,7239,5141,3406,4833,15809,14075,19749
2017,0.17718622236694526,0.13861753319584644,0.15188682658562178,0.17194103194103194,0.13462267462267463,0.16134082134082134,0.20899821811826458,0.11856060390419966,0.19285881006734715,0.1727927342827836,0.13010355296458376,0.16064884256753623,0.11759678504536941,0.11672394668412343,0.16665757460040367,0.23381980858787724,0.1047633016757728,0.14812438121081,0.26571290303066963,0.140523864255036,0.16444861169923175,0.14759352454209457,0.14106078583800444,0.16633252867449505,0.1894601707426664,0.1249245779575069,0.17013929006996598,0.15084229754414452,0.11987010351126447,0.19947229551451187,0.24924147416966705,0.09763744488045632,0.14820583356931916,0.232001514864609,0.1379284226472259,0.18841128574133686,0.16177746448324476,0.13764776054657846,0.18102700357878754,19589,15325,16792,24493,19177,22983,36712,20826,33877,33523,25241,31167,6467,6419,9165,12753,5714,8079,8785,4646,5437,21644,20686,24392,29516,19462,26506,3716,2953,4914,12322,4827,7327,6126,3642,4975,17901,15231,20031
2018,0.18736280530161994,0.14156408902720274,0.13938981355414154,0.17969059896866324,0.13703745679152263,0.14824616082053607,0.220107982059012,0.11763006691106186,0.17409480992846713,0.18299089887938583,0.13173628861785022,0.14941227457258344,0.11764810753953397,0.12324615357187428,0.1616836925710007,0.25465525918470056,0.10490060392551585,0.13105498238550578,0.25807073600705155,0.1373953283384751,0.16394887615689732,0.15405109746629966,0.14307055308537417,0.1579504552191404,0.20104263194117042,0.12571735136804799,0.15582578725756369,0.15496658038094502,0.12641502144264574,0.18989297994822857,0.27033719070791135,0.09701325721753186,0.12933954640026135,0.23214097658581107,0.1345526029416927,0.19191210025625724,0.1696308519740863,0.13836939249480504,0.1692488693313776,26972,20379,20066,31710,24183,26161,41909,22397,33148,41379,29789,33786,6599,6913,9069,16192,6670,8333,9369,4988,5952,26193,24326,26856,37099,23199,28755,4011,3272,4915,15722,5642,7522,6613,3833,5467,22204,18112,22154
2019,0.20279492306354863,0.14490785012605406,0.13537772754933497,0.20024632052812633,0.1434510355371628,0.14378135042162335,0.2288579760403531,0.11489202395964691,0.15738788619167718,0.19578195570975354,0.1418334974291653,0.14814727991623297,0.11913145539906103,0.139506308685446,0.161274941314554,0.2709906291834003,0.10488621151271754,0.12615796519410977,0.2538765582243843,0.15439896072307138,0.17383012244672325,0.16418487617534103,0.15746788504833797,0.15799761620977354,0.2166273939996463,0.13540227797400833,0.1521644576787225,0.16366567070294072,0.15643182890391572,0.17954867117471301,0.2849216949699843,0.0962850978262465,0.1238349649939088,0.23663908960798688,0.14329598212727337,0.19317904143540335,0.1842085358893786,0.1535346173151898,0.16636526785530106,37324,26670,24916,42436,30400,30470,46460,23324,31951,50110,36302,37918,6496,7607,8794,20243,7835,9424,9185,5586,6289,30994,29726,29826,45323,28329,31836,4163,3979,4567,19412,6560,8437,6779,4105,5534,26790,22329,24195
2020,0.18944562561482564,0.10440135816964427,0.11157300161837971,0.2120009918175056,0.12447309695016118,0.13963373596401119,0.23777626535802557,0.08385571515563993,0.14897732564387292,0.20477000588889616,0.1285742328076948,0.15049401295557155,0.10188586823414156,0.17413666421748714,0.17830026940974775,0.2772235194226279,0.08841010401188708,0.11282105710040331,0.17858812529219262,0.19027582982702199,0.2059373539036933,0.17136659436008678,0.1476409978308026,0.16860990600144612,0.23345299076352197,0.11003105715322874,0.14729964102770943,0.15906623235613462,0.1281216069489685,0.16449511400651465,0.3031999026645577,0.07397493612361601,0.1065823092833678,0.20183223590037216,0.15659891210993415,0.2112797022616662,0.19918248175182482,0.12747445255474452,0.1677080291970803,5970,3290,3516,5985,3514,3942,6638,2341,4159,6259,3930,4600,416,711,728,2612,833,1063,764,814,881,3792,3267,3731,5788,2728,3652,293,236,303,2492,608,876,705,547,738,3411,2183,2872
